#ID	名前
2585	Supreme Secrets of the Sword of Light
2586	All Things Nice
2587	Things to Do with Metal Goo
2588	In Fine Fettle with Liquid Metal
2589	Making Things with Metal Kings
2590	Cutting-Edge Kit
2591	Überswords Illustrated
2592	Kit Fit for a King
2593	Sizzling Styles
2594	Next-Level Neckwear
2595	Dragony Designs
2596	Your Crafting Career Starts Here
2597	Lashings of Class
2598	My First Pearly Pieces
2599	Knick-Knacks for Nifty Nickers
2600	Filigree for Fun and Profit
2601	Fine and Dandy Designs
2602	First Forays into Forging
2603	Gear that Glitters
2604	Twenty-Four Carats of Class
2605	Orichalcum: Ore Blimey
2606	Building Butterfly Bric-a-Brac
2607	Divine Designs
2608	Supercool Kit
2609	An Encyclopaedia of Expert Equipment
2610	I ♥ Iron Arms
2611	Platinum Power
2612	Platinum Plating
2613	Smithing with Steel
2614	The Emperor's New Axe
2615	The Devil's in the Details
2616	Gilt Gear
2617	Secrets of the Silversmiths
2618	Making the Magic Happen
2619	The Fandom of the Opera
2620	I ♥ Iron Armour
2621	Your Very Own Aegis of Illusions
2622	Sweet Stuff for Swindlers
2623	The Dapper Chap
2624	A Guide to Godly Get-Up
2625	Corking Kit for Kings
2626	Dress Like a Drasilian
2627	King of the Swindlers
2628	Eternal Elegance
2629	Glam Gear for Go-Getters
2630	Shine on, Xenlon
2631	What a Wonderful World Tree
2632	Field Manual
2633	Even Suaver Sylv
2634	Styles for All Seasons
2635	General Directives
2636	More Dragony Designs
2637	Big Hitters of the Battlefield
2638	That's Magic
2639	Classy Clobber for Kingly Kids
2640	Secrets of the Sunken Spirit
2641	Electrifying Equipment
2642	Good Godly Gear
2643	Upper-Class Accessories
2644	Get Your Drag-On
2645	An Anthology of Elemental Earrings
2646	An Earring for Every Element
2647	Sage Advice
2648	How to Outdo the Undead
2649	Rings Around the World
2650	Little Lifesavers
2651	Circles of Life
2652	Kings of the Rings
2653	Brace Yourself
2654	Build Better Birds' Feet
2655	Footwear of the Rich and Famous
2656	Platinum Protection
2657	Some Reflections on Protection
2658	Down the Rabbithole
2659	Badges of Honour
2660	If I Could Turn Back Time
2661	Fine Fashions for Philosophers
2662	A Hero's Book of Basic Weapons
2663	A Hero's Book of Better Weapons
2664	A Hero's Book of Brilliant Weapons
2665	Bottling Lightning
2666	Furry Finery
2667	A Recipe Book of Regal Regalia
2668	An Album of Imperial Attire
2669	So You Want to Be a Witch
2670	The Mothmask Prophecies
2671	Crafting Comforting Clothing
2672	Sacred Styles for Saintly Ladies
2673	Gifts from the Goddess
2674	Glammer Gear for Goer-Getterers
2675	Pride of the Valkyries
2676	The Way of the War Goddess
2677	Favourite Fashions of the Masters of Magic
2678	Snowfield Styles
2679	Make a Whip-Roaring Success of Yourself
2680	A Slender Sword of Solid Silver
2681	Even More Dragony Designs
2682	Building a Blade of Blistering Brutality
2683	Making the Most of Mythril
2684	Put a Feather in Your Cap
2685	Economies of Scale
2686	An Introduction to Armour
2687	O Holy Knight
2688	Ye Manifold Methods of Mighty Drustan
2689	The Stuff of Legend
