#ID	名前	個数
164	イシのつるぎ	4
168	どうのつるぎ	4
172	兵士の剣	4
176	せいどうのつるぎ	4
180	レイピア	4
184	てつのつるぎ	4
188	シルビアの剣	4
192	はじゃのつるぎ	4
196	ぎんのレイピア	4
200	はがねのつるぎ	4
204	バスターソード	4
208	さんぞくのサーベル	4
212	はやぶさの剣	4
216	ソンビキラー	4
220	プラチナソード	4
224	ゾンビバスター	4
228	ひかりのつるぎ	4
232	まけんしのレイピア	4
236	ドラゴンキラー	4
240	きせきのつるぎ	4
244	ほのおのつるぎ	4
248	勇者のつるぎ	1
249	メタスラの剣	4
253	ほしくずのつるぎ	1
254	きせきのつるぎ・改	4
258	はやぶさの剣・改	4
262	インフェルノソード	4
266	りゅうせいのつるぎ	1
267	ドラゴンスレイヤー	4
271	はぐれメタルの剣	4
275	すいせいのつるぎ	1
276	ライトニングソード	4
280	名刀斬鉄丸	4
284	天命のつるぎ	4
288	勇者のつるぎ・真	1
289	英雄王の剣	4
293	ライトシャムシール	4
297	じごくのサーベル	4
301	メタルキングの剣	4
305	ぎんがのつるぎ	4
309	デルカダールの剣	4
313	王者の剣	1
314	勇者のつるぎ・改	4
318	ひのきのぼう	4
322	カミュの短剣	4
326	ブロンズナイフ	4
330	どくばり	4
334	せいなるナイフ	4
338	どくがのナイフ	4
342	バタフライダガー	4
346	アサシンダガー	4
350	よるのパピヨン	4
354	イーグルダガー	4
358	王家のナイフ	4
362	ブラッドピック	4
366	ソードブレイカー	4
370	フェンリルのキバ	4
374	ソウルブレイカー	4
378	こおりのやいば	4
382	ポイズンスケイル	4
386	こあくまのナイフ	4
390	グラディウス	4
394	キラーピアス	4
398	サラマンダー	4
402	サウザンドダガー	1
403	クラウンダガー	4
407	はめつのナイフ	4
411	ミリオンダガー	1
412	ファルコンダガー	4
416	ビリオンダガー	1
417	ライトニングダガー	4
421	トリックスター	4
425	クロノスエッジ	4
429	トリリオンダガー	4
433	ナイトアックス	4
437	キングアックス	4
441	ふぶきのオノ	4
445	カイザーアックス	4
449	デストロイヤー	4
453	はしゃのオノ	4
457	グレートアックス	1
458	はおうのオノ	4
462	ブリザードアックス	4
466	ギガントアックス	1
467	アポロンのオノ	4
471	グラビティアックス	1
472	デュークアックス	4
476	カイロスアックス	4
480	ゴッドアックス	4
484	セーニャのステッキ	4
488	ランタンステッキ	4
492	フラワースティック	4
496	ペロリンステッキ	4
500	パラソルスティック	4
504	ドラゴンスティック	4
508	天使のタクト	4
512	ユグドラシル	4
516	ゴシックパラソル	4
520	アメイジングタクト	4
524	火竜のタクト	4
528	セラフィムステッキ	4
532	タイタニアステッキ	4
536	ひかりのタクト	4
540	ライトニングタクト	4
544	フェアリーステッキ	4
548	ファンタスティック	4
552	ラクリマタクト	4
556	ときのおうしゃく	4
560	精霊王のタクト	4
564	さびたおうしゃく	1
565	お尻たたき棒	4
569	やいばのブーメラン	4
573	クロスブーメラン	4
577	はがねのブーメラン	4
581	ほのおのブーメラン	4
585	こおりのブーメラン	4
589	マジックチャクラム	4
593	フレイムカッター	4
597	サザンクロス	4
601	ペンタグラム	4
605	メタスラブーメラン	4
609	メテオエッジ	1
610	コメットエッジ	1
611	スーパーノヴァ	1
612	はぐメタブーメラン	4
616	ダークスター	4
620	はてんの月輪	4
624	ハイパーノヴァ	4
628	メタキンブーメラン	4
632	かしのブーメラン	4
636	ブーメラン	4
640	どうの大剣	4
644	ビッグブレード	4
648	てつの大剣	4
652	ビッグブレードⅡ	4
656	シャドウエッジ	4
660	はがねの大剣	4
664	退魔の太刀	4
668	クレセントエッジ	4
672	斬夜の太刀	4
676	プラチナブレード	4
680	グレイグの大剣	4
684	デーモンバスター	4
688	大獄剣	4
692	ドラゴンバスター	4
696	メタスラの大剣	4
700	キングブレード	4
704	天魔の大剣	4
708	はぐれメタルの大剣	4
712	エンパイアブレード	4
716	ケイオスブレード	4
720	ひかりの大剣	4
724	メタルキングの大剣	4
728	イシの大剣	4
732	魔王の剣	1
733	せいどうのやり	4
737	てつのやり	4
741	バトルフォーク	4
745	はがねのやり	4
749	マルティナのやり	4
753	トライデント	4
757	いなずまのやり	4
761	プラチナのやり	4
765	グラコスのやり	4
769	デーモンスピア	4
773	雷神のやり	4
777	オセアノススピア	4
781	聖騎士のやり	4
785	メタスラのやり	4
789	きしんの魔槍	1
790	セラフィムのやり	4
794	らせつの魔槍	1
795	はぐれメタルのやり	4
799	えんまの魔槍	1
800	ブラッドスピアー	4
804	アテナの聖槍	4
808	聖竜のえんげつとう	4
812	メタルキングのやり	4
816	じごくの魔槍	4
820	ようせいの杖	4
824	ベロニカの杖	4
