#ID	名前	個数
164	Cobblestone sword	4
168	Copper sword	4
172	Soldier's sword	4
176	Bronze sword	4
180	Rapier	4
184	Iron broadsword	4
188	Sylvando's sword	4
192	Cautery sword	4
196	Silver rapier	4
200	Steel broadsword	4
204	Bastard sword	4
208	Bandit blade	4
212	Falcon blade	4
216	Zombiesbane	4
220	Platinum sword	4
224	Zombie slayer	4
228	Aurora blade	4
232	Fizzle foil	4
236	Dragonsbane	4
240	Miracle sword	4
244	Fire blade	4
248	Sword of Light	1
249	Metal slime sword	4
253	Stardust sword	1
254	Über miracle sword	4
258	Über falcon blade	4
262	Inferno blade	4
266	Nebula sword	1
267	Dragon slayer	4
271	Liquid metal sword	4
275	Supernova sword	1
276	Thunderstorm sword	4
280	Thousand-fold katana	4
284	Sword of judgment	4
288	Super Sword of Light	1
289	Drustan's sword	4
293	Shamshir of light	4
297	Hell sabre	4
301	Metal king sword	4
305	Hypernova sword	4
309	Heliodorian sword	4
313	Sword of Kings	1
314	Supreme Sword of Light	4
318	Cypress stick	4
322	Erik's dagger	4
326	Bronze knife	4
330	Poison needle	4
334	Divine dagger	4
338	Poison moth knife	4
342	Batterfly knife	4
346	Assassin's dagger	4
350	Dread dagger	4
354	Eagle dagger	4
358	Nobleman's knife	4
362	Bloodletter	4
366	Sword breaker	4
370	Fenrir fang	4
374	Soul breaker	4
378	Icicle dirk	4
382	Serpentscale skean	4
386	Imp knife	4
390	Gladius	4
394	Falcon knife earring	4
398	Flame tang	4
402	Deft dagger	1
403	High-born blade	4
407	Knife of strife	4
411	Darting dagger	1
412	Gryphon's wing	4
416	Dashing dagger	1
417	Thunderstorm skean	4
421	El Stupendo	4
425	Timeshear	4
429	Dynamo dagger	4
433	Cavalier cleaver	4
437	King axe	4
441	Ice axe	4
445	Kaiser axe	4
449	Obliteratoriser	4
453	Overlord's axe	4
457	Bad axe	1
458	Conqueror's axe	4
462	Avalanche axe	4
466	Maxi axe	1
467	Apollo's axe	4
471	Climaxe	1
472	Aristocrat's axe	4
476	Kairos cleaver	4
480	Galaxy axe	4
484	Serena's wand	4
488	Lamp post	4
492	Posey pole	4
496	Lolly stick	4
500	Jolly brolly	4
504	Wyvern wand	4
508	Seraphic sceptre	4
512	Spryggdrasil	4
516	Glumbrella	4
520	Bonbon baton	4
524	Red dragon rod	4
528	Seraph's stick	4
532	Butterfly baton	4
536	Glow stick	4
540	Get-up-and-glow stick	4
544	Pixie pole	4
548	Fantastick	4
552	Cane of compassion	4
556	Sceptre of Time	4
560	Faerie king's cane	4
564	Rusty sceptre	1
565	Naughty Stick	4
569	Edged boomerang	4
573	Crucerang	4
577	Soarin' steel	4
581	Flametang boomerang	4
585	Winter's wing	4
589	Magic circle	4
593	Banefire boomerang	4
597	Star cross	4
601	Pentarang	4
605	Metal goomerang	4
609	Meteorang	1
610	Asterang	1
611	Stellarang	1
612	Liquid metal goomerang	4
616	Dark star	4
620	Hunter's moon	4
624	Galaxarang	4
628	Metal king goomerang	4
632	Birchwood boomerang	4
636	Boomerangs	4
640	Copper chopper	4
644	Broad sword	4
648	Cast-iron claymore	4
652	Broader sword	4
656	Black blade	4
660	Carbon steel claymore	4
664	Banishing blade	4
668	Razer-wing	4
672	Nightcleaver	4
676	Platinum powersword	4
680	Hendrik's greatsword	4
684	Demonsbane	4
688	Brimstone blade	4
692	Wyrmfang	4
696	Metal gooreatsword	4
700	Lord's sword	4
704	Skysteed sword	4
708	Liquid metal gooreatsword	4
712	Legate's blade	4
716	Berserker's blade	4
720	Brilliant blade	4
724	Metal king gooreatsword	4
728	Cobblestone greatsword	4
732	Sword of Shadows	1
733	Bronze lance	4
737	Iron lance	4
741	Battle fork	4
745	Steel lance	4
749	Jade's glaive	4
753	Trident	4
757	Lightning lance	4
761	Platinum lance	4
765	Gracos's trident	4
769	Demon spear	4
773	Storm spear	4
777	Full fathom fork	4
781	Paladin's lance	4
785	Metal slime spear	4
789	Poker	1
790	Seraph's spear	4
794	Straight poker	1
795	Liquid metal spear	4
799	Stud poker	1
800	Barbarous pole	4
804	Sacred spear	4
