#ID	名前
0	おしゃれリボン・白
1	おしゃれリボン・赤
2	おしゃれリボン・桃
3	ねこみみバンド・黄
4	ねこみみバンド・白
5	ねこみみバンド・黒
6	うさみみバンド・白
7	うさみみバンド・青
8	うさみみバンド・黒
9	桃色の花かんむり
10	橙色の花かんむり
11	青い花かんむり
12	赤いハイビスカス
13	白いハイビスカス
14	紫ハイビスカス
15	しろウサギのお面
16	くろウサギのお面
17	ももウサギのお面
18	白いパティシエ帽
19	桃色パティシエ帽
20	水色パティシエ帽
21	麦わらぼうし
22	青い麦わらぼうし
23	赤い麦わらぼうし
24	白いボンボン帽
25	緑のボンボン帽
26	黄色いボンボン帽
27	パンケーキ
28	生焼けパンケーキ
29	こんがりパンケーキ
30	ちびヨッチ・白
31	ちびヨッチ・青
32	ちびヨッチ・桃
33	黒いシルクハット
34	赤いシルクハット
35	青いシルクハット
36	海賊のかぶと・茶
37	海賊のかぶと・赤
38	海賊のかぶと・黒
39	レッドベレー帽
40	ブルーベレー帽
41	イエローベレー帽
42	兵士のかぶと
43	兵士の赤かぶと
44	兵士の黒かぶと
45	雪国のぼうし・赤
46	雪国のぼうし・緑
47	雪国のぼうし・紫
48	海賊ハット・黒
49	海賊ハット・紫
50	海賊ハット・赤
51	桃色パレード帽
52	青いパレード帽
53	黄色いパレード帽
54	戦士のメット・赤
55	戦士のメット・青
56	戦士のメット・黒
57	僧侶のぼうし・青
58	僧侶のぼうし・緑
59	僧侶のぼうし・白
60	魔法使いぼうし・黒
61	魔法使いぼうし・緑
62	魔法使いぼうし・青
63	魔法使いぼうし・黄
64	魔法使いぼうし・白
65	魔法使いぼうし・青
66	スライムのぼうし
67	ベスのぼうし
68	メタスラのぼうし
69	おばけキノコ帽
70	マタンゴ帽
71	マージマタンゴ帽
72	スライムつむり帽
73	マリンスライム帽
74	レッドつむり帽
75	キンスラのかんむり
76	ベホズンのかんむり
77	メタキンのかんむり
78	だいおうキッズ帽
79	プチアーノン帽
80	グリーンアーノン帽
81	ふわふわアフロ・茶
82	ふわふわアフロ・黒
83	ふわふわアフロ・桃
84	クールモヒカン・黒
85	クールモヒカン・黄
86	クールモヒカン・緑
87	ちょんまげ・黒
88	ちょんまげ・赤
89	ちょんまげ・黄
90	赤りんご
91	青りんご
92	黄りんご
93	赤い宝箱
94	青い宝箱
95	緑の宝箱
96	バブルスライム帽
97	はぐれメタル帽
98	スライムタール帽
99	紫セクシー仮面
100	桃色のセクシー仮面
101	緑のセクシー仮面
102	サラサラヘアー
103	とんがりキャップ
104	ラダトームかぶと
105	ローレンシアメット
106	アリアハンヘア
107	天空のかぶと
108	グランターバン
109	レイドックヘア
110	エスタードずきん
111	トロデーンバンダナ
112	天使のわっか
113	プクリポずきん
114	アリーナハット
115	クリフトのぼうし
116	チャモロのぼうし
117	ヤンガスのかぶと
