#ID	名前
0	Coming of Age
1	A Hero in Chains
2	A Hero Hounded
3	The Guidance of Yggdrasil
4	You Shall Not Escape Me!
5	Yggdrasil's Chosen
6	Out-Stand-In
7	Anchors Aweigh!
8	Undisputed Champion of Erdrea
9	Wild Blue Yonder
10	Dark Art
11	Mermaid for Each Other
12	Ice-Breaker
13	NONE
14	A Spark Still Shines
15	Best of the Bastion
16	A Disciple Worthy of the Name
17	Soldier of Smile
18	Bigger Fish to Fry
19	Knight of the Living Dread
20	Beating the House
21	Tatsunaga Terminator
22	Sibling Revivalry
23	The Loveliest Catch
24	Ready As We'll Ever Be
25	Saviour of All Erdrea
26	Time Traveller
27	Here Today, Mordegon Tomorrow
28	Master of the Skies
29	Accolades Ahoy!
30	Accolade Accumulator
31	Accolade-Laden
32	Stackolades of Accolades
33	Made of Accolades
34	The Ultimate Accolade
35	Fledgling Fighter
36	Practised Pummeller
37	Well-Versed Victor
38	Virtuoso Vanquisher
39	Incomparable Conqueror
40	Critter Hitter
41	Monster Masher
42	Beast Blaster
43	Creature Crusher
44	Exterminator
45	Amateur Monsterologist
46	Minor Monsterologist
47	Monsterology Major
48	Master of Monsterology
49	Monsterologer Royal
50	 
51	 
52	NONE
53	NONE
54	NONE
55	Truly A-Maze-Ing
56	Scrap Merchant
57	Prepped to Pep
58	Peppy-Go-Lucky
59	Hot Pepper
60	Pep Star
61	Pepper Army
62	Something for a Rainy Day
63	A Wodge for a Rainy Week
64	Means for a Rainy Month
65	Riches for a Rainy Year
66	Stacks for a Rainy Century
67	Breadwinner
68	Moneymaker
69	Cash Magnet
70	Big Earner
71	Gold Miner
72	Cash Rich
73	Highly Liquid
74	Rolling in It
75	Questward Ho!
76	Quest to Impress
77	Simply the Quest
78	Forging Ahead
79	Hammer and Tongs
80	Brilliant Blacksmith
81	If At First You Don't Succeed
82	Try, Try Again
83	Perfectionist
84	Big Hitter
85	Superior Swordsmith
86	Greatsword Grand Master
87	Master Cutler
88	Wondrous Wandmaker
89	High-End Heavy-Wandmaker
90	Spearcrafting Supremo
91	Ace Axologist
92	Crack Clawcraftsperson
93	Whip-Making Wizard
94	Big, Bad Boomerang-Builder
95	Super Sharp Shield-Maker
96	Grandee of Greatshield-Making
97	Amazing Armourer
98	Terrific Tailor
99	Divine Dressmaker
100	Hyper Helmetier
101	Master Milliner
102	Master Masker
103	Pendant Pundit
104	Bracelet Boffin
105	Glove Guru
106	Ringmaster
107	Clever Clogs
108	Ingenious Accessoriser
109	Master Craftsperson
110	Swordsmith of Light
111	Next-Level Luminary
112	Master Thief
113	Flawless Sorceress
114	Virtuoso Healer
115	Megastar
116	Venerable Elder
117	Undisputed Champion
118	Knight Exemplar
119	Happily Married
120	Mooteorologist
121	Mount Olympian
122	At Home on the Range
