#ID	名前
0	みんなに　やさしく
1	将軍と軍師　ふたりの英雄
2	メアリーを助けて！
3	共闘のススメ
4	鍛冶職人の親心
5	親方の採掘指南
6	月下乱舞～ガッと来る衝撃
7	美味なるサボテンステーキ
8	明日への手紙
9	手紙がつなぐもの
10	極楽への導き
11	カマで刈り取れ美肌のクスリ
12	幻の闘士は　どこに？
13	妻は強し
14	対決！　カンダタ海賊団！
15	思い出のバニーをもう一度
16	ひと粒の極楽
17	明かりを絶やさず
18	思い出の木の下で
19	アタイのケジメ
20	メダ女新聞放浪記
21	なぞなぞ大勝負！
22	青春の1ページ
23	ナイショの木彫りの女神
24	あこがれの地上
25	魔女に恋した男
26	バイキングと王国民
27	きぼうの花が咲く日まで
28	健康じいさんの執念
29	ドゥルダの心得
30	そのプライドをへし折れ
31	騎士の誇りを取り戻せ
32	ユウレイ少女の最後の願い
33	渡せなかった卒業証書
34	マリンヌ先生の生活指導
35	いい香りのする　あの子
36	おアツいのがお好きでしょ？
37	砂漠に咲く幻の花
38	けんじゃの石のゆくえ
39	人魚さんを助けるさぁ～
40	レッツ！　豊漁祈願
41	巨星のカケラを追え
42	ゆうきのうた
43	寝耳に太鼓
44	成金ベジムの挑戦状
45	開館600年の願い
46	海底裁判　ただいま開廷！
47	亡き弟に捧ぐ
48	いにしえの愛の手紙
49	戦場を　さまよいし無双
50	イメルダさんの本気占い
51	かくれんぼの極意
52	ロマンの里　ホムラ
53	王子のミラクル強兵計画
54	どっこい親切　漂流者！
55	ウラノスの大秘法
56	よみがえる聖賢の竪琴
57	ネルセンの秘伝書
58	ふたりのバングル
59	みんなに　やさしく(2週目用)
60	在りし日の幻影
61	いにしえの呪文
62	お騒がせリサイタル
63	迷い迷われロンダルギア
64	さらに遥かなる旅路
65	王女の涙
66	魔王復活の儀式
67	決戦・バラモス城！
68	結婚の行方
69	パデキアの種を守れ！
70	私はシンシア
71	大切な贈り物
72	迷いの森の魔物
73	はやりカゼにご用心！
74	ルドマン家の呪い
75	天馬の塔の魔物
76	カリスマおにいちゃん帰る
77	ぴちぴちギャルになりたい！
78	カラーストーン危機一髪
79	キーファよ　ライラを救え
80	よみがえれ大地のトゥーラ
81	閉ざされし月の世界
82	謎のキラーパンサー
83	教育ママの苦悩
84	ああ・・・すれちがい
85	宿王の娘リッカ
86	消えた女神の果実を追え！
87	消えたカメさま
88	乗っ取られた神々の間
89	　
